"PRODUCTOS","ene-24","feb-24","mar-24","abr-24","may-24","jun-24","jul-24","ago-24","sept-24","oct-24","nov-24","dic-24","ene-25","feb-25","mar-25","abr-25","may-25","oct-25","Tipo de dieta"
"ACEITE DE OLIVA","5722.6","6115.7","5769.5","5477.5","4986.4","7003.5","8980.8","9051.2","9465.9","9735.1","9264.5","9548.0","9656.0","9537.7","9240.2","9585.1","9013.1","9013.1","Tradicional"
"ACEITE VEGETAL Y DE MARAVILLA","2414.9","2170.9","2211.7","2371.4","2403.7","2372.6","2392.6","2394.0","2449.0","2558.3","2294.8","2078.8","2474.8","2546.3","2514.7","2541.6","2375.8","2375.8","Tradicional"
"ADEREZOS","2271.5","2137.8","2246.6","2295.9","2253.6","2227.9","2301.5","2282.8","2188.7","2468.6","2128.7","1839.4","2300.1","2328.6","2324.1","2139.6","2169.3","2169.3","Tradicional"
"AGUA EMBOTELLADA","913.0","872.9","885.2","923.7","915.7","875.2","874.8","864.1","829.3","941.2","784.4","738.9","924.2","840.9","839.3","909.9","826.9","826.9","Tradicional"
"ALIÑOS","534.8","547.9","556.1","533.6","525.1","537.5","557.9","619.7","607.8","571.7","497.8","526.5","566.7","572.1","579.7","565.7","525.2","525.2","Tradicional"
"ARROZ","1331.7","1327.5","1432.7","1520.8","1590.3","1481.8","1550.6","1569.2","1578.8","1606.5","1296.3","1359.8","1560.6","1527.4","1538.1","1520.8","1300.7","1300.7","Tradicional"
"AZÚCAR","1209.8","1201.9","1197.5","1203.9","1208.4","1028.4","1082.4","1074.6","1026.4","1085.1","860.2","921.0","1072.3","1044.4","1066.1","1093.9","871.8","871.8","Tradicional"
"BEBIDAS GASEOSAS","1592.9","1374.6","1560.3","1621.1","1627.9","1596.8","1613.6","1606.7","1576.5","1623.5","1352.3","1451.9","1570.4","1564.2","1560.0","1564.5","1389.5","1389.5","Tradicional"
"BEBIDAS VEGETALES","1753.0","1797.0","1824.6","1781.6","1914.5","1986.7","1957.5","1877.0","1936.9","1935.5","1831.6","1706.3","1780.7","1771.7","1753.2","1785.3","1712.8","1712.8","Tradicional"
"CAFÉ Y SUCEDÁNEOS","3473.8","3336.4","3375.8","3507.4","3698.4","3336.6","3282.9","3524.3","3323.0","3547.3","2859.9","3140.2","3340.2","3270.7","3475.0","3459.4","3447.6","3447.6","Tradicional"
"CARAMELOS Y GOMAS DE MASCAR","891.9","812.5","920.4","895.6","882.1","940.0","942.2","1019.4","1046.9","1026.9","976.9","982.4","1062.7","1040.6","1041.2","1047.7","963.9","963.9","Tradicional"
"CARNE DE CERDO","4892.3","4686.7","4843.8","4876.7","4746.1","4657.6","4637.5","4777.9","4779.8","4854.7","4467.1","4553.0","4711.1","4613.2","4741.4","4898.8","4599.2","4599.2","Tradicional"
"CARNE DE PAVO","2363.6","2308.4","2081.0","2221.2","2026.2","2083.2","2097.7","2158.0","2216.1","2316.2","2260.3","2314.4","2266.2","2249.8","2105.4","1171.6","1132.0","1132.0","Tradicional"
"CARNE DE POLLO","3055.0","2964.8","2955.4","3075.3","3086.2","2892.1","3116.6","3151.3","3131.2","3307.5","3049.6","3163.1","3193.3","3189.3","3204.5","3364.4","3174.7","3174.7","Tradicional"
