"","SUPERMERCADO","DISPONIBILIDAD","","","","","","","","","","","","","","",""
"","TOTTUS - DISPONIBLES","50","","","","","","","","","","","","","","",""
"","TOTTUS - NO DISPONIBLES","10","","","","","","","","","","","","","","",""
"","LIDER - DISPONIBLES","54","","","","","","","","","","","","","","",""
"","LIDER - NO DISPONIBLES","6","","","","","","","","","","","","","","",""
"","JUMBO - DISPONIBLES","56","","","","","","","","","","","","","","",""
"","JUMBO - NO DISPONIBLES","4","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","CANASTA VEGANA TOTTUS","","","","","","CANASTA VEGANA LIDER","","","","","","CANASTA VEGANA JUMBO","","","",""
"","PRODUCTO","MARCA","PRECIO SUPERMERCADO TOTTUS ","CANTIDAD DEL PRODUCTO","DISPONIBILIDAD","","PRODUCTO","MARCA","PRECIO SUPERMERCADO LIDER ","CANTIDAD DEL PRODUCTO","DISPONIBILIDAD","","PRODUCTO","MARCA","PRECIO SUPERMERCADO JUMBO ","CANTIDAD DEL PRODUCTO","DISPONIBILIDAD"
"","Arroz blanco","Tottus","$1,550.00","1 kg","SI","","Pollo vegano","-","-","-","NO","","Arroz blanco","Tucapel","$2,850 ","1kg","SI"
"","Pan vegano","Castaño","$2,490","8 unidades","SI","","Longaniza vegana","-","-","-","NO","","Pan integral","Castano","$1,750","400 gramos","SI"
"","Harina integral","Selecta","$1,690","1 kg","SI","","Pescado vegano","-","-","-","NO","","Harina de trigo","Cuisine&Co","$1,000 ","1 kg","SI"
"","Avena","Tottus","$1,940","700 gr","SI","","Queso crema vegano","-","-","-","NO","","Avena","Quaker","$2,150 ","700 g","SI"
"","Fideos (sin huevo)","Lucchetti","$1,150","400 gr","SI","","Mantequilla vegana","-","-","-","NO","","Fideos (sin huevo)","Vermicelli","$1,690 ","200 g","SI"
"","Carne molida vegana","-","-","-","NO","","Torta vegana de 15 a 20 personas","-","-","-","NO","","Carne molida vegana","Vegmonkey","$3,192 ","400 g","SI"
"","Proteína de soya ","Mi Tierra","$2,750","300 gr","SI","","Helado vegano","NOTCO","$4,690.00","65g","SI","","Proteina de soya ","Mi tierra","$1,981 ","300 g","SI"
"","Nuggets veganos","La Crianza","$3,190","400 gr","SI","","Azucar","Acuenta","$990","1 kg ","SI","","Nuggets veganos","La Crianza","$2,843 ","400 g","SI"
"","Hamburguesa vegana","La Crianza","$1,150","100 gr","SI","","Salsa de tomate","Acuenta","$490","200 g","SI","","Hamburguesa vegana","La Crianza","$788 ","100 g","SI"
"","Croqueta vegana","La Receta del Abuelo","$1,290","120 gr","SI","","Caramelo vegano","Arcor","$1,090","130 g","SI","","Croqueta vegana","No disponible","NO","NO","NO"
"","Pollo vegano","-","-","-","NO","","Fideos (sin huevo)","Carozzi","$1,050","400 g ","SI","","Pollo vegano","No disponible","NO","NO","NO"
"","Longaniza vegana","-","-","-","NO","","Pan integral","Castaño","$1,750","400 gramos","SI","","Longaniza vegana","Beyond Meat","$11,892 ","400 g","SI"
"","Pescado vegano","-","-","-","NO","","Galleta salada vegana","Cracker","$510","90 g","SI","","Pescado vegano","Gardein","$8,590 ","288 g","SI"
"","Salchichas veganas","Riku","$2,990","250 gr (5 unidades)","SI","","Harina de trigo","Cuisine&Co","$1,000","1 kg","SI","","Salchichas veganas","Riku","$2,627 ","250 g","SI"
"","Porotos negros","Tottus","$2,490","1 kg","SI","","Jugo liquido","AFE","$4,850","1 L","SI","","Porotos negros","Banquete","$2,550 ","1 kg","SI"
"","Porotos blancos","Tottus","$3,090","1 kg","SI","","Néctar liquido","Del Valle","$1,790","1,75 L","SI","","Porotos blancos","Martini","$1,940 ","500 g","SI"
"","Garbanzos","Tottus","$3,590","1 kg","SI","","Refresco isotonico","Forceade","$990","1 L","SI","","Garbanzos","Banquete","$4,550 ","1 kg","SI"
"","Palmitos","Tottus","$2,150","400 gr","SI","","Carne molida vegana","Lider","$1,990","300 g","SI","","Palmitos","Wasil","$1,990 ","220 g","SI"
"","Arvejas","Tottus","$1,650","500 gr","SI","","Proteina de soya ","Lider","$1,990","300 g","SI","","Arvejas","Minuto Verde","$1,690 ","500 g","SI"
"","Tofu","-","-","-","NO","","Croqueta vegana","Lider","$2,850","500 g","SI","","Tofu","Vegan Leben","$2,490 ","200 g","SI"
"","Almendras","Tottus","$4,300","200 gr","SI","","Porotos negros","Lider","$2,490","1 kg","SI","","Almendras","Cuisine&Co","$1,690 ","80 g","SI"
"","Maní","Evercrisp","$2,790","380 gr","SI","","Palmitos","Lider","$2,150","220 g","SI","","Mani","Evercrips","$2,123 ","380 g","SI"
"","Leche vegetal","Vilay","$2,000","1 lt","SI","","Almendras","Lider","$1,790","80 g","SI","","Leche vegetal","Cuisine&Co","$1,850 ","1 L","SI"
"","Yogurt vegano","Nestlé","$560","115 gr","SI","","Margarina vegetal","Lider","$1,790","400 g","SI","","Yogurt vegano","Lonco Leche","$504 ","130 g","SI"
"","Queso vegano","Quillayes","$3,950","200 gr","SI","","Aceite vegetal","Lider","$1,690","900 ml","SI","","Queso vegano","Cuisine&Co","$1,990 ","8 laminas","SI"
"","Queso crema vegano","-","-","-","NO","","Choclo congelado","Lider","$1,590","500 g","SI","","Queso crema vegano","Plant Good","$4,890 ","200 g","SI"
"","Sustituto de huevo (linaza molida)","Mi Tierra","$2,150","400 gr","SI","","Papas fritas","Lider","$1,790","500 g","SI","","Sustituto de huevo ","Orgran","$2,618 ","200 g","SI"
"","Mantequilla vegana","-","-","-","NO","","Prepizza vegana familiar","Lider","$3,490","445 g","SI","","Mantequilla vegana","Earth","$8,890 ","425 g","SI"
"","Margarina vegetal","-","-","-","NO","","Agua mineral","Manantial","$1,090","3 L","SI","","Margarina vegetal","No disponible","NO","NO","NO"
"","Aceite vegetal","Tottus","$1,690","900 ml","SI","","Mani","Marco Polo","$890","150 g","SI","","Aceite vegetal","Cuisine&Co","$1,850 ","900 ml","SI"
"","Platano","Tottus","$1,490","/kg","SI","","Porotos blancos","Martini","$1,890","500 g","SI","","Platano","Granel Jumbo","$795 ","1 a 2 unidades","SI"
"","Manzana","Tottus","$1,890","1 kg","SI","","Garbanzos","Martini","$2,690","500 g","SI","","Manzana","Granel Jumbo","$1,295 ","2 a 3 unidades","SI"
"","Lentejas","Tottus","$2,990","1 kg","SI","","Arvejas","Martini","$1,290","500 g","SI","","Lentejas","Cuisine&Co","$2,490 ","1 kg","SI"
"","Lechuga","Tottus","$1,290","1 unidad","SI","","Lentejas","Martini","$1,790","500 g","SI","","Lechuga","Granel Jumbo","$1,390 ","1 unidad","SI"
"","Zapallo","Tottus","$1,990","700 gr","SI","","Sustituto de huevo (harina de garbanzo, linaza o aquafaba)","Mi Tierra","$2,090","400 g","SI","","Zapallo","Proverde","$1,990 ","700 g","SI"
"","Limón ","Tottus","$1,590","1 kg","SI","","Hamburguesa vegana","Mister Veggie","$790","100 g","SI","","Limon ","Granel Jumbo","$1,790 ","1 kg","SI"
